ID,Last Name,First Name,Title,Department,Phone,Extension,E-mail,Start Date,End Date,UDF0,UDF1,UDF2,UDF3,UDF4,UDF5,UDF6,UDF7,UDF8,UDF9,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF20,UDF21,UDF22,UDF23,UDF24,UDF25,UDF26,UDF27,UDF28,UDF29,UDF30,UDF31,UDF32,UDF33,UDF34
7,Campos,Emmanuel Zuniga,,Support,,,ezuniga@officespacesoftware.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,Vargas,Victor,,IT,,,vvargas@officespacesoftware.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102035,Doe,John,Quality Control Processer,Quality Assurance,,,john.doe@initec.com,7/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Casorla,Estefania,,,,,estefania@gmail.com,,,,,,,,,,,,,,,,,,,Moravia,,,,,,,,,,,,,,,,,,
1111,Test2,Test,,,,,tesr@initec.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115060142,Herrera,Diego,,Accounting,,,dherrera@officespacesoftware.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,S,Angie,,,,,asantamaria@officespacesoftware.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,Smith,Jane,Vice President1,Executive,555-678-9000,8349,,7/25/2019,,,,,,,,,,,,,,,,@JaneSmith,,,,t,,,,,,,,,,,,,,,,
123456,Quiros,Estefania,,,,,ecasorla@officespacesoftware.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129531,Lizano,Jose,,,,,jlizano@officespacesoftware.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-123,System Admin,2013-123,,,,,,7/25/2019,,,,,,,,,,,,,,,,@2013-123System Admin,,,,,,,,,,,,,,,,,,,,
44567,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
7,Teams Record,Emmanuel,Support,,,,emma@ossd.co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9001,Martinez,Alma,Claims Specialist,Accounting,555-678-9000,9001,alma.chavez@initec.com,7/25/2019,,100,,,,,,,,,,,,,,@AlmaChavez,,,,t,,,,,,,,,,,,,,,,
9002,Angelsberg,Andas,Claims Specialist,Finance,555-678-9000,9002,andas.angelsberg@initec.com,7/25/2019,,100,,,,Other,,,,,4/11/2016,,,,,@AndasAngelsberg,,,,,,,,,,,,,,,,,,,,
9003,Alongi,Andy,Assistant to the CEO,Marketing,555-678-9000,9003,andrea.alongi@initec.com,7/25/2019,,100,,,,Offsite,Floor Coord,Wheat Free,Grumpy before 9am,,4/11/2016,,,,,@AndyAlongi,,,,t,,,,,,,,,,,,,,,,
9004,Simpson,Andrea,Review Appraisal Specialist,Accounting,555-678-9000,9004,andrea.simpson@initec.com,7/25/2019,,100,,,,,,,,,,,,,,@AndreaSimpson,,,,,,,,,,,,,,,,,,,,
9005,Zook,Andrew,Temporary Worker,Finance,555-678-9000,9005,andrew.zook@initec.com,7/25/2019,,100,,,,,,,,,,,,,,@AndrewZook,,,,,,,,,,,,,,,,,,,,
9006,Fass,Angela,"SVP, National UW Risk & Ops",Accounting,555-678-9000,9006,angela.fass@initec.com,7/25/2019,,100,,,,,,,,,,,,,,@AngelaFass,,,,,,,,,,,,,,,,,,,,
9007,Fortner,Ann,"Director, Compliance UW",Accounting,555-678-9000,9007,ann.fortner@initec.com,7/25/2019,,100,,,,,,,,,,,,,,@AnnFortner,,,,,,,,,,,,,,,,,,,,
9008,Carthan,Anne,Internal Risk Project Manager,Accounting,555-678-9000,9008,anne.carthan@initec.com,7/25/2019,,100,,,,,,,,,,,,,,@AnneCarthan,,,,,,,,,,,,,,,,,,,,
9009,Portillo,Ashley,Claims Specialist,Accounting,555-678-9000,9009,ashley.portillo@initec.com,7/25/2019,,100,,,,,,,,,,,,,,@AshleyPortillo,,,,,,,,,,,,,,,,,,,,
9010,Davis,Bill,"VP, Regional Sales",Accounting,555-678-9000,9010,bill.davis@initec.com,7/25/2019,,100,,,,,,,,,,,,,,@BillDavis,,,,,,,,,,,,,,,,,,,,
9011,Bolzenius,Bonnie,"Manager, Remedy Resolution",Human Resources,555-678-9000,9011,bonnie.bolzenius@initec.com,7/25/2019,,100,,,,,,,,,,,,,,@BonnieBolzenius,,,,,,,,,,,,,,,,,,,,
9012,Terranova-Judge,Brenda,Sales Operations Assistant,Accounting,555-678-9000,9012,brenda.terranova-judge@initec.com,7/25/2019,,100,,,,,,,,,,,,,,@BrendaTerranova-Judge,,,,,,,,,,,,,,,,,,,,
